date,XLB_rs63,XLC_rs63,XLE_rs63,XLF_rs63,XLI_rs63,XLK_rs63,XLP_rs63,XLRE_rs63,XLU_rs63,XLV_rs63,XLY_rs63,XLB_rs_line,XLC_rs_line,XLE_rs_line,XLF_rs_line,XLI_rs_line,XLK_rs_line,XLP_rs_line,XLRE_rs_line,XLU_rs_line,XLV_rs_line,XLY_rs_line
1998-12-22,,,,,,,,,,,,1,,1,1,1,1,1,,1,1,1
1998-12-23,,,,,,,,,,,,0.989757,,0.999836,0.993897,0.996548,1.00286,1.00313,,0.975351,1.00147,0.983664
1998-12-24,,,,,,,,,,,,1.01692,,0.99888,1.0048,1.01406,1.00337,1.00574,,0.997617,1.01195,1.00603
1998-12-28,,,,,,,,,,,,1.01064,,0.996133,0.994146,1.02195,1.00881,1.00249,,0.994992,0.999757,0.999518
1998-12-29,,,,,,,,,,,,1.01309,,0.990391,0.989062,1.02036,0.995924,1.00862,,0.995767,1.00599,1.00539
1998-12-30,,,,,,,,,,,,1.01837,,0.983301,0.993141,1.02404,1.00019,1.01045,,0.995635,1.0056,1.00513
1998-12-31,,,,,,,,,,,,1.03012,,0.981995,0.983956,1.03257,0.996366,1.00295,,0.992037,1.01659,1.00393
1999-01-04,,,,,,,,,,,,1.01995,,0.983585,0.986205,1.02045,1.01013,0.997144,,0.978377,1.01647,1.00021
1999-01-05,,,,,,,,,,,,1.03316,,0.967259,0.984163,1.02975,1.02425,0.993305,,0.979002,1.02072,1.00557
1999-01-06,,,,,,,,,,,,1.02661,,0.975649,0.991463,1.02712,1.02969,0.98165,,0.965891,1.01324,1.00978
1999-01-07,,,,,,,,,,,,1.02382,,0.97598,1.01166,1.02323,1.03151,0.975264,,0.967154,1.01348,1.01359
1999-01-08,,,,,,,,,,,,1.05103,,0.973263,1.01057,1.02334,1.02809,0.964211,,0.965502,1.01844,1.00731
1999-01-11,,,,,,,,,,,,1.0633,,0.964065,1.00496,1.02359,1.04822,0.953816,,0.948813,1.03062,1.01174
1999-01-12,,,,,,,,,,,,1.05513,,0.966758,0.994764,1.03,1.03858,0.963881,,0.966753,1.04531,1.00351
1999-01-13,,,,,,,,,,,,1.03914,,0.959153,0.988708,1.01104,1.04547,0.97245,,0.98026,1.04295,1.01542
1999-01-14,,,,,,,,,,,,1.0397,,0.957493,0.98094,1.02435,1.0495,0.97096,,0.981015,1.0528,1.01027
1999-01-15,,,,,,,,,,,,1.02859,,0.94754,0.983358,1.01529,1.05314,0.956618,,0.960692,1.04001,0.997139
1999-01-19,,,,,,,,,,,,1.00311,,0.94139,0.97181,1.00676,1.0825,0.939609,,0.986778,1.06275,0.990079
1999-01-20,,,,,,,,,,,,0.99157,,0.926222,0.971159,0.994281,1.08372,0.934979,,0.974948,1.0603,0.998663
1999-01-21,,,,,,,,,,,,1.01415,,0.959351,0.979816,1.01277,1.08448,0.94595,,0.997891,1.05114,1.0162
1999-01-22,,,,,,,,,,,,0.996525,,0.956262,0.975461,0.995276,1.06776,0.943477,,1.00688,1.04925,1.02336
1999-01-25,,,,,,,,,,,,1.00621,,0.94529,0.973455,1.00158,1.07552,0.93165,,0.959438,1.04717,1.01064
1999-01-26,,,,,,,,,,,,0.985378,,0.919425,0.956717,0.983703,1.0988,0.936471,,0.960865,1.03326,1.0161
1999-01-27,,,,,,,,,,,,0.989002,,0.913342,0.955666,1.0031,1.08813,0.960078,,0.957484,1.03517,1.02689
1999-01-28,,,,,,,,,,,,0.960516,,0.893129,0.953916,0.987803,1.10778,0.961062,,0.943155,1.03708,1.02044
1999-01-29,,,,,,,,,,,,0.958189,,0.886351,0.966954,0.98665,1.1155,0.956001,,0.934513,1.02921,1.01965
1999-02-01,,,,,,,,,,,,0.971699,,0.882658,0.956094,0.993757,1.12302,0.957722,,0.938051,1.04123,1.02801
1999-02-02,,,,,,,,,,,,0.97844,,0.889401,0.951754,0.992209,1.11085,0.971556,,0.931329,1.03215,1.02146
1999-02-03,,,,,,,,,,,,0.969298,,0.900813,0.949164,0.991764,1.10753,0.95843,,0.926915,1.04128,1.02746
1999-02-04,,,,,,,,,,,,1.01289,,0.919662,0.941027,1.00812,1.0859,0.968452,,0.926889,1.0493,1.03717
1999-02-05,,,,,,,,,,,,1.03849,,0.956451,0.944105,1.01653,1.07193,0.964763,,0.93815,1.04931,1.02293
1999-02-08,,,,,,,,,,,,1.03131,,0.967567,0.939606,1.01775,1.08776,0.961103,,0.936263,1.0466,1.03755
1999-02-09,,,,,,,,,,,,1.03479,,0.971037,0.9478,1.02705,1.06907,0.965532,,0.961855,1.05133,1.0284
1999-02-10,,,,,,,,,,,,1.0304,,0.967485,0.949674,1.02446,1.06994,0.966348,,0.948985,1.04708,1.02183
1999-02-11,,,,,,,,,,,,0.997111,,0.937965,0.965827,1.01502,1.0901,0.960549,,0.931698,1.05124,1.0314
1999-02-12,,,,,,,,,,,,1.00407,,0.929687,0.963155,1.02145,1.05953,0.96415,,0.927657,1.04815,1.02535
1999-02-16,,,,,,,,,,,,1.00063,,0.928755,0.983512,1.03296,1.06122,0.981617,,0.9503,1.06436,1.04486
1999-02-17,,,,,,,,,,,,0.991327,,0.920467,0.988466,1.03401,1.03833,0.972757,,0.944568,1.0544,1.04231
1999-02-18,,,,,,,,,,,,0.990877,,0.915879,0.990538,1.02591,1.0359,0.975499,,0.954038,1.05953,1.03535
1999-02-19,,,,,,,,,,,,0.994654,,0.906745,0.98956,1.02804,1.04095,0.967315,,0.939785,1.05804,1.03629
