date,o,h,l,c,v
1998-01-20,42.9373,43.5064,42.7132,43.4891,1744600
1998-01-21,43.0926,43.2478,42.6442,42.9546,1839600
1998-01-22,42.5925,42.9632,42.4545,42.5925,1662600
1998-01-23,42.7649,42.9028,42.1096,42.4890,1693700
1998-01-26,42.6959,42.8597,42.4545,42.6614,1172800
1998-01-27,42.5580,43.3512,42.5321,43.1615,1454500
1998-01-28,43.2477,43.7219,43.1615,43.6616,1181200
1998-01-29,43.6271,44.2824,43.5322,43.8168,1468500
1998-01-30,44.1099,44.1099,43.5754,43.7219,1095600
1998-02-02,44.4893,44.8687,44.3686,44.7049,955600
1998-02-03,44.6962,45.0670,44.5066,45.0584,619400
1998-02-04,44.8169,45.0583,44.5928,44.8169,753200
1998-02-05,45.1445,45.1963,44.5496,44.8255,1067600
1998-02-06,44.9721,45.3429,44.8945,45.3084,1069700
1998-02-09,45.2997,45.3860,44.9376,45.1273,515900
1998-02-10,45.2653,45.9895,45.2049,45.8860,892100
1998-02-11,45.7826,46.0154,45.7136,45.8860,515000
1998-02-12,45.6532,46.4120,45.4549,46.1792,1065000
1998-02-13,45.9895,46.2654,45.8947,46.1533,596700
1998-02-17,46.5241,46.7483,46.2913,46.3862,840600
1998-02-18,46.3947,46.7396,46.2654,46.6965,773000
1998-02-19,46.7051,46.7396,46.2568,46.2568,804800
1998-02-20,46.3948,46.6103,45.9723,46.5068,540600
1998-02-23,46.9034,46.9034,46.3344,46.4896,639200
1998-02-24,46.4206,46.5758,46.0930,46.3516,702700
1998-02-25,46.4896,46.9896,46.3947,46.7310,687400
1998-02-26,46.6879,47.0241,46.5758,46.9896,439800
1998-02-27,46.9638,47.4293,46.8430,47.2310,451300
1998-03-02,47.3173,47.3777,47.0586,47.3001,1062800
1998-03-03,47.0242,47.5242,47.0069,47.5156,596600
1998-03-04,47.2483,47.3863,46.9638,47.1966,691700
1998-03-05,46.6275,47.0500,46.4723,46.7827,778300
1998-03-06,46.9552,47.4725,46.9552,47.4725,933100
1998-03-09,47.2483,47.7743,47.2311,47.3863,685300
1998-03-10,47.6622,47.8691,47.5415,47.8518,563700
1998-03-11,47.9725,48.1363,47.8604,48.0070,406600
1998-03-12,47.9726,48.0415,47.6277,47.9467,576700
