date,o,h,l,c,v
2007-04-11,31.7081,31.7202,31.7081,31.7081,1900
2007-04-12,31.7294,31.7294,31.7081,31.7294,6100
2007-04-13,31.7202,31.7506,31.6716,31.6716,3400
2007-04-16,31.6838,31.6838,31.6473,31.6595,7600
2007-04-17,31.6473,31.7233,31.6443,31.6443,28100
2007-04-18,31.6594,31.6837,31.6473,31.6534,6300
2007-04-19,31.6625,31.7749,31.6200,31.7628,47500
2007-04-20,31.7658,31.7658,31.7385,31.7446,4900
2007-04-23,31.7810,31.8023,31.7385,31.7628,1700
2007-04-24,31.7810,31.9998,31.7294,31.9816,398500
2007-04-25,31.9907,32.0302,31.9907,32.0302,16300
2007-04-26,32.0362,32.0879,31.9937,32.0879,48200
2007-04-27,32.0605,32.0879,32.0605,32.0879,8300
2007-04-30,32.0757,32.0970,32.0058,32.0909,15500
2007-05-01,32.0766,32.1254,32.0766,32.0949,8600
2007-05-02,32.1010,32.1132,32.0553,32.0827,4700
2007-05-03,32.1071,32.1406,32.0553,32.0858,17200
2007-05-04,32.1010,32.1284,32.0584,32.1254,4600
2007-05-07,32.0919,32.1223,32.0858,32.1223,4200
2007-05-08,32.1589,32.1619,32.1315,32.1467,16100
2007-05-09,32.1741,32.1772,32.0431,32.0614,9400
2007-05-10,32.2076,32.2412,32.1497,32.1772,17400
2007-05-11,32.1894,32.2320,32.1650,32.1955,12200
2007-05-14,32.2046,32.2077,32.1620,32.1924,11600
2007-05-15,32.2077,32.2777,32.1680,32.1680,39400
2007-05-16,32.2473,32.2564,32.2442,32.2533,78100
2007-05-17,32.2656,32.2777,32.2046,32.2442,14500
2007-05-18,32.2838,32.2838,32.2533,32.2533,5200
2007-05-21,32.2808,32.2869,32.2533,32.2838,14600
2007-05-22,32.3234,32.3265,32.2168,32.2869,10200
2007-05-23,32.2747,32.3326,32.2076,32.2625,22500
2007-05-24,32.3112,32.3112,32.2534,32.2716,17100
2007-05-25,32.2899,32.4423,32.2381,32.3174,7400
2007-05-29,32.2076,32.2137,32.1711,32.1894,4900
2007-05-30,32.2594,32.2808,32.2229,32.2625,4300
2007-05-31,32.2655,32.2655,32.1924,32.2107,6200
2007-06-01,32.2064,32.2125,32.1574,32.2064,13500
2007-06-04,32.2340,32.2401,32.1788,32.2340,21800
2007-06-05,32.2370,32.2370,32.1880,32.1880,4500
2007-06-06,32.1727,32.1911,32.1359,32.1482,74600
2007-06-07,32.0931,32.0931,31.9276,31.9981,12100
2007-06-08,31.9306,31.9490,31.8418,31.9123,17800
2007-06-11,31.8357,31.8878,31.7437,31.8449,2900
2007-06-12,31.7958,31.7989,31.5814,31.6825,67300
2007-06-13,31.7529,31.8081,31.5200,31.7376,24600
2007-06-14,31.6641,31.7622,31.6089,31.7622,18200
2007-06-15,31.7131,31.7682,31.7131,31.7560,13500
2007-06-18,31.8387,31.8387,31.6824,31.7744,14600
2007-06-19,31.8173,31.8173,31.6702,31.8142,19600
2007-06-20,31.8173,31.8173,31.5323,31.5323,16900
2007-06-21,31.5599,31.6916,31.5599,31.5905,13900
2007-06-22,31.6273,31.6702,31.5109,31.6518,27800
2007-06-25,31.6518,31.6641,31.4527,31.4680,29000
2007-06-26,31.5415,31.6181,31.4680,31.5599,43600
2007-06-27,31.4955,31.4986,31.4006,31.4496,6800
2007-06-28,31.4220,31.4496,31.2320,31.2841,9500
2007-06-29,31.2841,31.4067,31.1953,31.1953,14600
2007-07-02,31.3472,31.5229,31.2548,31.4397,19600
2007-07-03,31.4089,31.4089,31.3164,31.3811,11700
2007-07-05,31.3935,31.3965,31.1253,31.2671,14600
2007-07-06,31.2640,31.3750,31.1654,31.3010,8200
2007-07-09,31.2640,31.4335,31.2517,31.3965,8400
2007-07-10,31.2794,31.3626,31.1315,31.3133,19700
2007-07-11,31.3226,31.3257,30.9958,31.0791,17200
2007-07-12,31.1315,31.1715,31.0421,31.1715,8300
2007-07-13,31.2240,31.3041,31.1315,31.3010,5200
2007-07-16,31.2455,31.3811,31.2116,31.3133,17100
2007-07-17,31.3472,31.3503,31.1993,31.3503,10600
2007-07-18,31.3380,31.3380,31.0698,31.1161,15600
2007-07-19,31.1407,31.1500,31.1407,31.1500,6400
2007-07-20,31.1253,31.2301,31.0051,31.0698,18600
2007-07-23,31.0390,31.0420,30.9773,31.0020,9000
2007-07-24,30.9774,30.9804,30.7801,30.8232,44900
2007-07-25,30.7924,30.7924,30.4164,30.5304,28100
2007-07-26,30.3609,30.6691,29.7105,30.0989,43200
2007-07-27,29.8985,29.8985,29.4331,29.5965,44600
2007-07-30,29.8955,29.9047,29.6982,29.8831,24600
2007-07-31,29.8985,30.2684,29.8985,29.9848,34000
2007-08-01,30.0438,30.0438,29.5536,29.9228,33500
2007-08-02,30.0903,30.1958,30.0903,30.0934,28800
2007-08-03,30.2020,30.2020,29.9011,30.0934,20100
2007-08-06,30.6363,30.6363,29.7987,30.0283,30400
2007-08-07,30.7915,30.7915,30.0314,30.2423,68800
2007-08-08,30.7139,31.1793,30.4036,30.5991,30300
2007-08-09,30.5960,30.6891,30.4068,30.5681,12800
2007-08-10,30.4657,30.5185,30.3261,30.5060,18800
2007-08-13,30.7201,30.7294,30.5278,30.7294,21300
2007-08-14,30.8132,30.8132,30.4564,30.4905,12400
2007-08-15,30.5123,30.7263,30.4906,30.6612,9100
2007-08-16,31.0241,31.0241,30.3975,30.6208,15300
2007-08-17,30.7139,31.0241,30.5898,30.9311,30000
