date,o,h,l,c,v
2007-03-30,15.1774,15.1865,15.1744,15.1744,2000
2007-04-02,15.1926,15.2198,15.1926,15.2077,11700
2007-04-03,15.2077,15.2440,15.2077,15.2440,4800
2007-04-04,15.2380,15.2440,15.2017,15.2017,7200
2007-04-05,15.2198,15.2319,15.2138,15.2228,7000
2007-04-09,15.2380,15.2440,15.2047,15.2350,7200
2007-04-10,15.2440,15.2592,15.2229,15.2471,8400
2007-04-11,15.2561,15.2561,15.2047,15.2198,8100
2007-04-12,15.2259,15.2259,15.2047,15.2107,4200
2007-04-13,15.2047,15.2168,15.1321,15.2077,6900
2007-04-16,15.2228,15.2319,15.1653,15.2017,18400
2007-04-17,15.2138,15.2229,15.1926,15.2168,20300
2007-04-18,15.2138,15.2198,15.2047,15.2138,9200
2007-04-19,15.2198,15.2198,15.1744,15.1805,13900
2007-04-20,15.2077,15.2168,15.1926,15.2168,4800
2007-04-23,15.2138,15.2349,15.1320,15.2047,12400
2007-04-24,15.2259,15.2289,15.2047,15.2138,20100
2007-04-25,15.2077,15.2380,15.1774,15.2047,29300
2007-04-26,15.2017,15.2107,15.1926,15.2077,13400
2007-04-27,15.2410,15.2410,15.2107,15.2259,7700
2007-04-30,15.2349,15.2440,15.2289,15.2289,7400
2007-05-01,15.2365,15.2365,15.2061,15.2213,13400
2007-05-02,15.2304,15.2609,15.2304,15.2609,11800
2007-05-03,15.2822,15.2822,15.2608,15.2730,19600
2007-05-04,15.2791,15.2791,15.2669,15.2700,32900
2007-05-07,15.2852,15.2913,15.2700,15.2791,55400
2007-05-08,15.3004,15.3035,15.2730,15.3004,24400
2007-05-09,15.3248,15.3248,15.2913,15.2913,21100
2007-05-10,15.3095,15.3095,15.2730,15.2730,10200
2007-05-11,15.3095,15.3339,15.3095,15.3309,5500
2007-05-14,15.3856,15.3856,15.3643,15.3643,14200
2007-05-15,15.3735,15.3917,15.3552,15.3582,9400
2007-05-16,15.3552,15.3582,15.2943,15.3187,13100
2007-05-17,15.2943,15.3004,15.2761,15.2913,10700
2007-05-18,15.2821,15.2882,15.2608,15.2761,20300
2007-05-21,15.2548,15.2882,15.2548,15.2882,9800
2007-05-22,15.2822,15.3735,15.2791,15.3095,20500
2007-05-23,15.3095,15.3339,15.3035,15.3095,5500
2007-05-24,15.2913,15.2974,15.2517,15.2852,15100
2007-05-25,15.2487,15.2761,15.2304,15.2578,12400
2007-05-29,15.2700,15.2882,15.2609,15.2609,4500
2007-05-30,15.2761,15.3096,15.2761,15.3004,7600
2007-05-31,15.3065,15.3278,15.2883,15.3217,15200
2007-06-01,15.3856,15.3856,15.2602,15.2602,15400
2007-06-04,15.3184,15.3184,15.2327,15.2419,19200
2007-06-05,15.2694,15.2694,15.1838,15.1960,47000
2007-06-06,15.2388,15.2388,15.1379,15.1532,36200
2007-06-07,15.1318,15.1502,15.0187,15.0187,14900
2007-06-08,15.0034,15.0431,14.9697,15.0431,15200
2007-06-11,15.0492,15.0492,15.0034,15.0278,12700
2007-06-12,15.0003,15.0003,14.9177,14.9177,16400
2007-06-13,14.9697,15.0003,14.9483,14.9881,23200
2007-06-14,15.0492,15.0737,15.0125,15.0431,16700
2007-06-15,15.0890,15.1899,15.0890,15.1899,36400
2007-06-18,15.2205,15.2205,15.1716,15.2022,30600
2007-06-19,15.2450,15.2450,15.1930,15.2144,18500
2007-06-20,15.2541,15.2541,15.1440,15.1440,6000
2007-06-21,15.1318,15.1318,15.0676,15.0921,14600
2007-06-22,15.0859,15.1135,15.0645,15.1135,4300
2007-06-25,15.1349,15.1440,15.0676,15.0890,31200
2007-06-26,15.1073,15.1135,15.0829,15.1043,28500
2007-06-27,15.1043,15.1043,15.0339,15.0982,64200
2007-06-28,15.1349,15.1899,15.1349,15.1440,4200
2007-06-29,15.1838,15.1991,15.1593,15.1746,12700
2007-07-02,15.1977,15.2713,15.1977,15.2468,19100
2007-07-03,15.2621,15.3420,15.2621,15.3205,10400
2007-07-05,15.3481,15.3481,15.2713,15.2990,14200
2007-07-06,15.3051,15.3051,15.2560,15.2683,13900
2007-07-09,15.2744,15.2867,15.2437,15.2805,29700
2007-07-10,15.2161,15.3205,15.1976,15.2161,153100
2007-07-11,15.1884,15.2314,15.1884,15.1915,15200
2007-07-12,15.1884,15.2284,15.1823,15.2284,24800
2007-07-13,15.1577,15.2345,15.1577,15.2253,8000
2007-07-16,15.2007,15.2437,15.2007,15.2099,11400
2007-07-17,15.2314,15.2314,15.1670,15.2007,6100
2007-07-18,15.2007,15.2007,15.1424,15.1670,3500
2007-07-19,15.1485,15.1700,15.1424,15.1547,2900
2007-07-20,15.1117,15.1117,15.0718,15.0871,4400
2007-07-23,15.0871,15.0871,15.0718,15.0718,1300
2007-07-24,15.0104,15.0104,14.8937,14.8937,6800
2007-07-25,14.8507,14.8630,14.7862,14.8047,33400
2007-07-26,14.7064,14.7064,14.6389,14.6389,11900
2007-07-27,14.6450,14.7371,14.6450,14.7126,8600
2007-07-30,14.6634,14.6911,14.5959,14.6757,41100
2007-07-31,14.7647,14.8077,14.7463,14.7678,23800
2007-08-01,14.6944,14.6944,14.6080,14.6296,3800
2007-08-02,14.6543,14.7067,14.6173,14.6759,6900
2007-08-03,14.6697,14.6697,14.5586,14.6203,3400
2007-08-06,14.5093,14.5494,14.4167,14.4568,10200
2007-08-07,14.4445,14.5155,14.4445,14.5124,6300
2007-08-08,14.5679,14.6543,14.5679,14.6543,4400
2007-08-09,14.6234,14.6234,14.5525,14.5741,20300
2007-08-10,14.4383,14.4383,14.3458,14.4229,6300
2007-08-13,14.4969,14.4969,14.3766,14.3921,3200
2007-08-14,14.3458,14.3643,14.2563,14.2563,3300
2007-08-15,14.1113,14.1452,14.0342,14.0342,23800
2007-08-16,13.7905,13.8799,13.5436,13.8768,14600
2007-08-17,14.1175,14.2532,14.0373,14.2440,12600
2007-08-20,14.1915,14.3088,14.1915,14.3088,3400
2007-08-21,14.2872,14.4322,14.2872,14.4322,19900
2007-08-22,14.5586,14.5586,14.4445,14.4476,8800
2007-08-23,14.6543,14.6543,14.5772,14.6049,3400
2007-08-24,14.6203,14.6296,14.5432,14.6296,1700
2007-08-27,14.6111,14.6173,14.5525,14.5957,11700
2007-08-28,14.5895,14.5895,14.5000,14.5031,2800
2007-08-29,14.5000,14.5494,14.5000,14.5494,6900
2007-08-30,14.5556,14.5833,14.5186,14.5186,11500
2007-08-31,14.6234,14.6420,14.6234,14.6389,3800
2007-09-04,14.6630,14.6630,14.6258,14.6320,16800
2007-09-05,14.6290,14.6290,14.5360,14.5639,6000
2007-09-06,14.5701,14.5732,14.5360,14.5639,5000
2007-09-07,14.5422,14.5422,14.5081,14.5298,2500
2007-09-10,14.5329,14.5329,14.4895,14.5205,11800
2007-09-11,14.5174,14.5174,14.4802,14.4802,2600
2007-09-12,14.4275,14.4926,14.3965,14.4337,87800
