date,o,h,l,c,v
2002-07-30,35.9368,36.0027,35.8357,35.8357,6100
2002-07-31,36.0247,36.3983,36.0027,36.2796,29400
2002-08-01,36.2840,36.4950,36.2840,36.4863,25000
2002-08-02,36.5566,36.9698,36.4335,36.8599,52800
2002-08-05,36.9434,37.1193,36.8599,37.0226,61100
2002-08-06,36.8687,36.8819,36.5830,36.7061,64900
2002-08-07,36.7500,36.9874,36.6445,36.7940,40300
2002-08-08,36.7412,36.8247,36.6445,36.7940,40900
2002-08-09,36.9259,37.3127,36.9259,37.3127,35900
2002-08-12,37.4973,38.1128,37.4270,37.5413,32100
2002-08-13,37.7083,38.0117,37.5281,38.0029,75400
2002-08-14,38.4469,38.6403,38.1348,38.1479,130000
2002-08-15,37.9721,38.0249,37.7391,37.8139,87100
2002-08-16,37.9985,38.0336,37.2863,37.3918,85000
2002-08-19,37.3875,37.5149,37.2380,37.5061,47300
2002-08-20,37.6380,37.9326,37.6292,37.9238,40800
2002-08-21,37.6643,37.8490,37.6424,37.7215,40000
2002-08-22,37.6072,37.6072,37.3918,37.3918,34400
2002-08-23,37.4534,37.7831,37.4534,37.7611,20100
2002-08-26,37.6732,37.8974,37.6600,37.7963,23900
2002-08-27,37.5413,37.6644,37.4534,37.5589,301800
2002-08-28,37.8226,37.8842,37.7347,37.7479,18100
2002-08-29,38.1391,38.1831,37.9589,38.0512,135700
2002-08-30,38.1348,38.3018,38.0029,38.2798,78100
2002-09-03,38.4445,38.8683,38.4092,38.8683,102100
2002-09-04,38.8639,38.9831,38.7800,38.8595,66300
2002-09-05,39.1023,39.1376,38.5769,39.0714,648400
2002-09-06,38.8374,38.9345,38.4975,38.6123,140000
2002-09-09,38.6299,38.7756,38.5240,38.5549,83800
2002-09-10,38.4842,38.8507,38.4092,38.7403,336000
2002-09-11,38.4092,38.5416,38.2988,38.5372,177700
2002-09-12,38.6211,38.9125,38.6167,38.8374,43400
2002-09-13,38.9964,39.2657,38.9301,39.1950,155100
2002-09-16,39.3804,39.3893,39.2480,39.2612,73000
2002-09-17,39.1332,39.4334,39.0096,39.3363,75400
2002-09-18,39.3628,39.5394,39.3010,39.3451,196600
2002-09-19,39.6012,39.6321,39.4069,39.6100,109900
2002-09-20,39.4908,39.5217,39.3186,39.4246,113500
2002-09-23,39.7336,39.8396,39.6321,39.7778,163200
2002-09-24,39.8661,40.1486,39.8263,40.0338,251900
2002-09-25,39.7778,39.8926,39.4069,39.5482,127200
2002-09-26,39.3142,39.5262,39.1200,39.4555,429000
2002-09-27,39.5261,39.7513,39.5040,39.7513,298200
2002-09-30,40.0250,40.1310,39.7689,39.9102,297800
2002-10-01,39.5127,39.5747,39.3532,39.4152,257500
2002-10-02,39.5481,39.6545,39.3709,39.6412,91000
2002-10-03,39.5748,39.6678,39.3532,39.5438,29900
2002-10-04,39.1759,39.7609,39.1759,39.6678,131000
2002-10-07,39.8407,39.8673,39.6457,39.7343,433800
2002-10-08,39.6634,40.1154,39.6014,39.7476,530900
2002-10-09,40.0179,40.0534,39.8628,39.9514,402900
2002-10-10,39.9603,39.9603,39.5659,39.6368,97100
2002-10-11,39.4861,39.5393,39.0252,39.1670,421800
2002-10-14,39.2202,39.2424,39.0297,39.1094,18300
2002-10-15,38.5554,38.6884,38.1787,38.1832,297100
2002-10-16,38.3782,38.3782,38.0635,38.2009,125200
2002-10-17,37.7312,37.9173,37.7001,37.7356,233400
2002-10-18,37.6780,37.8420,37.3500,37.8331,459100
2002-10-21,37.8907,37.9350,37.4475,37.4653,134900
2002-10-22,37.6026,37.6026,37.3234,37.3589,205000
2002-10-23,37.5584,37.7578,37.3058,37.3722,127800
2002-10-24,37.2969,37.7800,37.2614,37.7002,339600
2002-10-25,37.8242,37.9173,37.7356,37.8375,146100
2002-10-28,37.9173,37.9528,37.7578,37.7844,97800
2002-10-29,38.0325,38.5067,38.0104,38.2763,125000
2002-10-30,38.2762,38.4136,38.1433,38.2630,31900
2002-10-31,38.1344,38.4934,38.1211,38.4358,512700
2002-11-01,38.4176,38.6980,37.9501,38.2751,125100
2002-11-04,38.0525,38.1727,37.9501,38.1059,342500
2002-11-05,38.1059,38.1059,37.8789,37.9590,73800
2002-11-06,37.8611,38.3419,37.7988,38.1104,118500
2002-11-07,38.7514,39.0542,38.6624,39.0542,147900
2002-11-08,39.3524,39.4637,39.1521,39.3702,294700
2002-11-11,39.4192,39.5839,39.3524,39.5839,70000
2002-11-12,39.6862,39.6862,39.3390,39.3568,494300
2002-11-13,39.3747,39.4815,39.1565,39.4414,104700
2002-11-14,39.0185,39.0185,38.6223,38.6223,118000
