date,o,h,l,c,v
1986-05-19,0.8288,0.8288,0.8288,0.8288,0
1986-05-20,0.8271,0.8271,0.8271,0.8271,0
1986-05-21,0.8354,0.8354,0.8354,0.8354,0
1986-05-22,0.8338,0.8338,0.8338,0.8338,0
1986-05-23,0.8354,0.8354,0.8354,0.8354,0
1986-05-27,0.8396,0.8396,0.8396,0.8396,0
1986-05-28,0.8288,0.8288,0.8288,0.8288,0
1986-05-29,0.8274,0.8274,0.8274,0.8274,0
1986-05-30,0.8274,0.8274,0.8274,0.8274,0
1986-06-02,0.8166,0.8166,0.8166,0.8166,0
1986-06-03,0.8182,0.8182,0.8182,0.8182,0
1986-06-04,0.8166,0.8166,0.8166,0.8166,0
1986-06-05,0.8141,0.8141,0.8141,0.8141,0
1986-06-06,0.8257,0.8257,0.8257,0.8257,0
1986-06-09,0.8216,0.8216,0.8216,0.8216,0
1986-06-10,0.8182,0.8182,0.8182,0.8182,0
1986-06-11,0.8174,0.8174,0.8174,0.8174,0
1986-06-12,0.8199,0.8199,0.8199,0.8199,0
1986-06-13,0.8241,0.8241,0.8241,0.8241,0
1986-06-16,0.8357,0.8357,0.8357,0.8357,0
1986-06-17,0.8357,0.8357,0.8357,0.8357,0
1986-06-18,0.8332,0.8332,0.8332,0.8332,0
1986-06-19,0.8282,0.8282,0.8282,0.8282,0
1986-06-20,0.8324,0.8324,0.8324,0.8324,0
1986-06-23,0.8374,0.8374,0.8374,0.8374,0
1986-06-24,0.8407,0.8407,0.8407,0.8407,0
1986-06-25,0.8423,0.8423,0.8423,0.8423,0
1986-06-26,0.8432,0.8432,0.8432,0.8432,0
1986-06-27,0.8465,0.8465,0.8465,0.8465,0
1986-06-30,0.8540,0.8540,0.8540,0.8540,0
1986-07-01,0.8540,0.8540,0.8540,0.8540,0
1986-07-02,0.8540,0.8540,0.8540,0.8540,0
1986-07-03,0.8599,0.8599,0.8599,0.8599,0
1986-07-07,0.8590,0.8590,0.8590,0.8590,0
1986-07-08,0.8507,0.8507,0.8507,0.8507,0
1986-07-09,0.8540,0.8540,0.8540,0.8540,0
1986-07-10,0.8574,0.8574,0.8574,0.8574,0
1986-07-11,0.8574,0.8574,0.8574,0.8574,0
1986-07-14,0.8582,0.8582,0.8582,0.8582,0
1986-07-15,0.8590,0.8590,0.8590,0.8590,0
1986-07-16,0.8657,0.8657,0.8657,0.8657,0
1986-07-17,0.8590,0.8590,0.8590,0.8590,0
1986-07-18,0.8582,0.8582,0.8582,0.8582,0
1986-07-21,0.8599,0.8599,0.8599,0.8599,0
1986-07-22,0.8548,0.8548,0.8548,0.8548,0
1986-07-23,0.8465,0.8465,0.8465,0.8465,0
1986-07-24,0.8423,0.8423,0.8423,0.8423,0
1986-07-25,0.8406,0.8406,0.8406,0.8406,0
1986-07-28,0.8348,0.8348,0.8348,0.8348,0
1986-07-29,0.8340,0.8340,0.8340,0.8340,0
1986-07-30,0.8373,0.8373,0.8373,0.8373,0
1986-07-31,0.8474,0.8474,0.8474,0.8474,0
1986-08-01,0.8474,0.8474,0.8474,0.8474,0
1986-08-04,0.8491,0.8491,0.8491,0.8491,0
1986-08-05,0.8457,0.8457,0.8457,0.8457,0
1986-08-06,0.8423,0.8423,0.8423,0.8423,0
1986-08-07,0.8449,0.8449,0.8449,0.8449,0
1986-08-08,0.8558,0.8558,0.8558,0.8558,0
1986-08-11,0.8642,0.8642,0.8642,0.8642,0
1986-08-12,0.8634,0.8634,0.8634,0.8634,0
1986-08-13,0.8684,0.8684,0.8684,0.8684,0
1986-08-14,0.8692,0.8692,0.8692,0.8692,0
1986-08-15,0.8701,0.8701,0.8701,0.8701,0
1986-08-18,0.8709,0.8709,0.8709,0.8709,0
1986-08-19,0.8760,0.8760,0.8760,0.8760,0
1986-08-20,0.8802,0.8802,0.8802,0.8802,0
1986-08-21,0.8802,0.8802,0.8802,0.8802,0
1986-08-22,0.8785,0.8785,0.8785,0.8785,0
1986-08-25,0.8751,0.8751,0.8751,0.8751,0
1986-08-26,0.8760,0.8760,0.8760,0.8760,0
1986-08-27,0.8751,0.8751,0.8751,0.8751,0
1986-08-28,0.8802,0.8802,0.8802,0.8802,0
1986-08-29,0.8872,0.8872,0.8872,0.8872,0
1986-09-02,0.8838,0.8838,0.8838,0.8838,0
1986-09-03,0.8694,0.8694,0.8694,0.8694,0
1986-09-04,0.8694,0.8694,0.8694,0.8694,0
1986-09-05,0.8610,0.8610,0.8610,0.8610,0
1986-09-08,0.8576,0.8576,0.8576,0.8576,0
1986-09-09,0.8584,0.8584,0.8584,0.8584,0
1986-09-10,0.8584,0.8584,0.8584,0.8584,0
1986-09-11,0.8491,0.8491,0.8491,0.8491,0
1986-09-12,0.8441,0.8441,0.8441,0.8441,0
1986-09-15,0.8441,0.8441,0.8441,0.8441,0
1986-09-16,0.8441,0.8441,0.8441,0.8441,0
1986-09-17,0.8491,0.8491,0.8491,0.8491,0
1986-09-18,0.8466,0.8466,0.8466,0.8466,0
